ts,price
2021-06-08,453.62
2021-06-09,454.21
2021-06-10,454.73
2021-06-11,455.08
2021-06-14,458.13
2021-06-15,458.93
2021-06-16,459.16
2021-06-17,458.87
2021-06-18,458.71
2021-06-21,450.87
2021-06-22,455.65
2021-06-23,456.86
2021-06-24,453.47
2021-06-25,457.47
2021-06-28,457.71
2021-06-29,454.92
2021-06-30,456.27
2021-07-01,453.59
2021-07-02,456.15
2021-07-05,456.98
2021-07-06,458.38
2021-07-07,456.53
2021-07-08,458.68
2021-07-09,452.45
2021-07-12,458.11
2021-07-13,460.92
2021-07-14,460.76
2021-07-15,459.96
2021-07-16,456.38
2021-07-19,453.24
2021-07-20,445.18
2021-07-21,447.81
2021-07-22,455.3
2021-07-23,457.49
2021-07-26,461
2021-07-27,461
2021-07-28,458.86
2021-07-29,462.12
2021-07-30,462.69
2021-08-02,462.4
2021-08-03,464.48
2021-08-04,466.35
2021-08-05,467.96
2021-08-06,469.91
2021-08-09,469.88
2021-08-10,470.76
2021-08-11,472.44
2021-08-12,473.76
2021-08-13,474.61
2021-08-16,474.82
2021-08-17,472.8
2021-08-18,473.98
2021-08-19,472.47
2021-08-20,467.14
2021-08-23,470.18
2021-08-24,472.76
2021-08-25,471.75
2021-08-26,470.87
2021-08-27,470.02
2021-08-30,472.47
2021-08-31,472.85
2021-09-01,471.74
2021-09-02,472.95
2021-09-03,474.37
2021-09-06,471.74
2021-09-07,475.1
2021-09-08,472.68
2021-09-09,468.09
2021-09-10,467.68
2021-09-13,466.47
2021-09-14,467.57
2021-09-15,467.68
2021-09-16,463.9
2021-09-17,465.94
2021-09-20,458.94
2021-09-21,454.05
2021-09-22,459.61
2021-09-23,464.46
2021-09-24,466.8
2021-09-27,464.45
2021-09-28,461.98
2021-09-29,453.11
2021-09-30,456.54
2021-10-01,451.73
2021-10-04,452.16
2021-10-05,451.19
2021-10-06,454.45
2021-10-07,454.29
2021-10-08,458.46
2021-10-11,457.12
2021-10-12,456
2021-10-13,456.94
2021-10-14,461.65
2021-10-15,466.71
2021-10-18,468.9
2021-10-19,467.58
2021-10-20,468.06
2021-10-21,469.33
2021-10-22,469.96
2021-10-25,472.16
2021-10-26,472.34
2021-10-27,475.33
2021-10-28,473.72
2021-10-29,474.69
2021-11-01,475.87
2021-11-02,477.82
2021-11-03,479.42
2021-11-04,482.21
2021-11-05,482.6
2021-11-08,483.14
2021-11-09,482.82
2021-11-10,483.14
2021-11-11,483.35
2021-11-12,485.53
2021-11-15,486.31
2021-11-16,489.55
2021-11-17,489.56
2021-11-18,489.87
2021-11-19,488
2021-11-22,487.01
2021-11-23,483.62
2021-11-24,479.67
2021-11-25,480.49
2021-11-26,473.99
2021-11-29,466.77
2021-11-30,464.83
2021-12-01,464.12
2021-12-02,468.46
2021-12-03,466.53
2021-12-06,464.33
2021-12-07,471
2021-12-08,479.73
2021-12-09,478.66
2021-12-10,475.96
2021-12-13,476.28
2021-12-14,474.52
2021-12-15,470.06
2021-12-16,473.92
2021-12-17,475.63
2021-12-20,470.64
2021-12-21,469.25
2021-12-22,474.76
2021-12-23,478.95
2021-12-24,482.87
2021-12-27,481.91
2021-12-28,485.84
2021-12-29,488.88
2021-12-30,488.15
2021-12-31,488.77
2022-01-03,488.28
2022-01-04,492.1
2022-01-05,493.99
2022-01-06,491.79
2022-01-07,487.97
2022-01-10,487.58
2022-01-11,480.77
2022-01-12,485.15
2022-01-13,485.68
2022-01-14,484.63
2022-01-17,482.07
2022-01-18,483.65
2022-01-19,478.88
2022-01-20,481.4
2022-01-21,480.14
2022-01-24,472.9
2022-01-25,458.85
2022-01-26,461.3
2022-01-27,464.97
2022-01-28,469.6
2022-01-31,468.16
2022-02-01,470.49
2022-02-02,476.84
2022-02-03,476.49
2022-02-04,468.82
2022-02-07,463.98
2022-02-08,465.55
2022-02-09,466.78
2022-02-10,473.84
2022-02-11,470.15
2022-02-14,466.47
2022-02-15,460.84
2022-02-16,468.34
2022-02-17,468.04
2022-02-18,464.64
2022-02-21,461.88
2022-02-22,450.65
2022-02-23,455.56
2022-02-24,448.59
2022-02-25,440.63
2022-02-28,450.9
2022-03-01,453
2022-03-02,441.4
2022-03-03,446.4
2022-03-04,436.61
2022-03-07,418.67
2022-03-08,414.48
2022-03-09,418.42
2022-03-10,434.67
2022-03-11,427.86
2022-03-14,432.02
2022-03-15,433.41
2022-03-16,438.76
2022-03-17,449.14
2022-03-18,451.19
2022-03-21,454.5
2022-03-22,455.18
2022-03-23,459.37
2022-03-24,454.58
2022-03-25,453.29
2022-03-28,453.59
2022-03-29,456.05
2022-03-30,461.93
2022-03-31,460.11
2022-04-01,456.46
2022-04-04,459.36
2022-04-05,462.79
2022-04-06,462.74
2022-04-07,456.51
2022-04-08,456.95
2022-04-11,459.28
2022-04-12,456.63
2022-04-13,456.49
2022-04-14,456.99
2022-04-19,457.9
2022-04-20,456.32
2022-04-21,459.87
2022-04-22,458.52
2022-04-25,449.64
2022-04-26,447.04
2022-04-27,440.7
2022-04-28,445.91
2022-04-29,448.53
2022-05-02,448.26
2022-05-03,444.96
2022-05-04,446.34
2022-05-05,444.18
2022-05-06,436.64
2022-05-09,428.55
2022-05-10,418.66
2022-05-11,421.82
2022-05-12,423.77
2022-05-13,425.79
2022-05-16,432.45
2022-05-17,435.48
2022-05-18,439.28
2022-05-19,431.57
2022-05-20,429.28
